Route,Stops (via)
D04-SGH,Agara -> Banjarapalya -> Basavanagara Kengeri -> Beedi Karmikara Colony Gate -> Byregowdanahalli -> Chikkammanapalya -> Dinnepalya -> Gangasandra -> Hosapalya Colony -> Hullegowdanahalli Cross -> Jn of Kommaghatta Kengeri -> Kaggalipura Colony -> Kaggalipura Kanakapura Road -> Kengeri Club -> Kengeri Ganesha Temple -> Kengeri Robin Theatre -> Kengeri TTMC -> Kommaghatta -> Krishnasagara Maragondanahalli -> Kumbalagodu -> Maragondanahalli Dodda Aladamara -> Sondekoppa -> Sulikere Banglow -> Sulikere Palya -> Tavarekere -> Thimmegowdanapalya Banjarapalya -> Utthari -> Yalachaguppe
248-HA,Adakimaranahalli -> Anjananagara -> Arishinakunte -> Byregowdanahalli -> Channadasipalya -> Channenahalli -> Channenahalli Arch -> Chikka Gollarahatti -> Chikkabidarakallu -> Dasanapura -> Deepak Factory -> Devannanapalya -> East West College Cross -> Forest Gate -> Gollarahatti -> Hamsa Farm -> Hegganahalli -> Hegganahalli Cross -> Herohalli Cross -> Honaganahatti -> Hullegowdanahalli Cross -> Jalahalli Cross -> Jindal -> Kachohalli Gate -> Kadabagere Cross -> Lakkuppe -> Machohalli Gate -> Madanayakanahalli -> Madavara -> Makali -> Mallapura Nelamangala -> NTTF Peenya -> Seegehalli Gate -> Sondekoppa -> Sunkadakatte -> Sunkadakatte Aralimara -> Systems Peenya -> T Dasarahalli -> TVS Cross Peenya -> Tavarekere -> Vishwa Shanti Ashrama Nelamangala -> Widia Factory
258 JHC-TVK,Adakimaranahalli -> Arishinakunte -> Byregowdanahalli -> Chikkabidarakallu -> Dasanapura -> Deepak Factory -> Devannanapalya -> Hullegowdanahalli Cross -> Jalahalli Cross -> Jindal -> Madanayakanahalli -> Madavara -> Makali -> Sondekoppa -> T Dasarahalli -> Tavarekere -> Vishwa Shanti Ashrama Nelamangala -> Widia Factory
258 YTTMC-TVK,Adakimaranahalli -> Arishinakunte -> Byregowdanahalli -> CMTI -> Chikkabidarakallu -> Dasanapura -> Deepak Factory -> Devannanapalya -> Goraguntepalya -> Govardhan Talkies -> Hullegowdanahalli Cross -> Jalahalli Cross -> Jindal -> MEI Factory -> Madanayakanahalli -> Madavara -> Makali -> RMC Yard -> SRS Peenya -> Sondekoppa -> T Dasarahalli -> Tavarekere -> Vishwa Shanti Ashrama Nelamangala -> Widia Factory
374-M NMG-TVK,Byregowdanahalli -> Hullegowdanahalli Cross -> Sondekoppa -> Tavarekere
258-CB YBS-SDKP,Adakimaranahalli -> Arishinakunte -> Byregowdanahalli -> CMTI -> Chikkabidarakallu -> Dasanapura -> Deepak Factory -> Devannanapalya -> Goraguntepalya -> Govardhan Talkies -> Hullegowdanahalli Cross -> Jalahalli Cross -> Jindal -> MEI Factory -> Madanayakanahalli -> Madavara -> Makali -> RMC Yard -> SRS Peenya -> Sondekoppa -> T Dasarahalli -> Vishwa Shanti Ashrama Nelamangala -> Widia Factory
258-Q,Adakimaranahalli -> Ananda Rao Circle -> Arishinakunte -> Byregowdanahalli -> CMTI -> Chikkabidarakallu -> Corporation -> Dasanapura -> Deepak Factory -> Devannanapalya -> Goraguntepalya -> Govardhan Talkies -> Hullegowdanahalli Cross -> Hunnigere Sondekoppa -> Jalahalli Cross -> Jindal -> KR Market -> Kempegowda Bus Station -> MEI Factory -> Madanayakanahalli -> Madavara -> Makali -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Mysore Bank -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Town Hall -> Vishwa Shanti Ashrama Nelamangala -> Widia Factory
258-QA,Adakimaranahalli -> Ananda Rao Circle -> Arishinakunte -> Byregowdanahalli -> CMTI -> Chikkabidarakallu -> Dasanapura -> Deepak Factory -> Devannanapalya -> Goraguntepalya -> Govardhan Talkies -> Hullegowdanahalli Cross -> Jalahalli Cross -> Jindal -> Kempegowda Bus Station -> MEI Factory -> Madanayakanahalli -> Madavara -> Makali -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Vishwa Shanti Ashrama Nelamangala -> Widia Factory
258-U,Adakimaranahalli -> Ananda Rao Circle -> Arishinakunte -> Byregowdanahalli -> CMTI -> Chikkabidarakallu -> Dasanapura -> Deepak Factory -> Devannanapalya -> Goraguntepalya -> Govardhan Talkies -> Hullegowdanahalli Cross -> Jalahalli Cross -> Jindal -> Kakkepalya Nelamangala -> Kempegowda Bus Station -> Kondappanahalli -> MEI Factory -> Madanayakanahalli -> Madavara -> Makali -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Vishwa Shanti Ashrama Nelamangala -> Widia Factory
258- KMT-LKH,Adakimaranahalli -> Ananda Rao Circle -> Arishinakunte -> Byregowdanahalli -> CMTI -> Chikkabidarakallu -> Corporation -> Dasanapura -> Deepak Factory -> Devannanapalya -> Goraguntepalya -> Govardhan Talkies -> Hullegowdanahalli Cross -> Jalahalli Cross -> Jindal -> KR Market -> Kempegowda Bus Station -> Lakkenahalli Village Sondekoppa -> MEI Factory -> Madanayakanahalli -> Madavara -> Makali -> Malleshwaram 11th Cross -> Malleshwaram 15th Cross -> Malleshwaram 8th Cross -> Malleshwaram Circle -> Mysore Bank -> RMC Yard -> SRS Peenya -> T Dasarahalli -> Tata Institute -> Town Hall -> Vishwa Shanti Ashrama Nelamangala -> Widia Factory
