Route,Stops (via)
D28-ESML,Hebbala Bridge
V-KNB-BLHC-HBL,Bellahalli -> Chokkanahalli Gate Tirumenahalli Cross -> Christal House Learning School -> Hebbala Bridge -> Kannuru -> Kempapura Hebbala Ring Road -> Koli Farm Thanisandra Main Road -> Manyata Embassy Business Park -> Noor Nagara -> Petrol Bunk Nagavara Junction -> Thanisandra -> Thirumenahalli Cross -> Veeranapalya Ring Road
HBL- LING,Hebbala Bridge -> Lingarajapura -> Lumbini garden -> Manyata Embassy Business Park
YTTMC-RMVE,CPRI -> Mekhri Circle -> Nagashettyhalli -> RMS Sanjayanagara -> RMV Extension -> Tata Institute -> Yeshwanthapura
VNS-11,Sheshadripuram Swastik -> Swastik Sheshadripuram College -> Vidyaniketan School Hebbala
VNS-9,Vidyaniketan School Hebbala
VNS-12,RT Nagara Police Station -> Vidyaniketan School Hebbala
VNS-5,MS Ramaiah Hospital -> RT Nagara Police Station -> Vidyaniketan School Hebbala
VNSH-DSKNR,Byatarayanapura -> Govt School Jakkuru -> Jakkur -> Jakkur Layout Double Road -> Shivaram Karanth Nagara -> Sri Venkateshwaranagara Tejpunja Road -> Vidyaniketan School Hebbala
VNS-07,Halasuru Lake -> Mekhri Circle -> Trinity Circle -> Vidyaniketan School Hebbala
VNS-8,Vidyaniketan School Hebbala
VNS-03,Clarence School -> Devis Road -> Frazer Town -> Mekhri Circle -> Nandidurga Road -> Vidyaniketan School Hebbala
VNS-14,Sadashivanagara Police Station -> Vidyaniketan School Hebbala
VNS-20,MM Layout Kavalbyrasandra -> RT Nagara Police Station -> Vidyaniketan School Hebbala
VNS-10,Cunningham Road -> Kempegowda Bus Station -> Shivananda Store -> Vidyaniketan School Hebbala
VNSH-4,MS Ramaiah College -> Tata Institute -> Vidyaniketan School Hebbala
KBS-NGVRJ-VNS,Arabic College Tany Road -> Bamboo Bazaar -> Cantonment Railway Station -> Coles Park Millers Road -> Cunningham Road -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> HK Degree College -> Hebbala Coffee Board Layout -> Indian Express -> Kadugondanahalli -> Kadugondanahalli Police Station -> Kempegowda Bus Station -> Maharanis College -> Manyata Embassy Business Park -> Mariyannapalya Hebbala -> Muslim Colony -> Nagavara -> P -> Periyar Nagara Circle Tannery Road -> Postal and Telecom Colony -> Tannery Road Canara Bank -> Venkateshapura Kadugondanahalli Police Station -> Vidyaniketan School Hebbala
VNS-13,RT Nagara Police Station -> Rehamathnagara -> Vidyaniketan School Hebbala
VNS-2,GPO -> Hoskerehalli Petrol Bunk -> Johnson Market -> KH Road -> Lalbagh West Gate -> NR Colony -> Seetha Circle -> Shanthinagara TTMC -> Vidyaniketan School Hebbala -> Vidyapeeta Circle
VNS-18,Sahakaranagara -> Vidyaniketan School Hebbala
VNS H-23,Thanisandra -> Vidyaniketan School Hebbala
279-K,Janatha Dala Office Ananda Rao Circle -> Kempegowda Bus Station -> Mekhri Circle -> Nagashettyhalli -> Palace Ground -> Patelappa Layout Nagashettyhalli -> RMS Sanjayanagara -> Shivananda Store
278-K,Cunningham Road -> Indian Express -> Jayamahal -> Mekhri Circle -> Munireddy Palya JC Nagara -> Nagashettyhalli -> Patelappa Layout Nagashettyhalli -> RMS Sanjayanagara -> Shivajinagara Bus Station -> TV Tower
63 SBS-DPJN,Attiguppe -> Bamboo Bazaar -> Basaveshwara College Rajajinagara -> Bhashyam Circle Rajajinagara -> CSI Hospital -> Corporation -> Dasarahalli Hebbala -> Deepanjalinagara -> Devaiah Park -> GPO -> Harishchandra Ghat -> Indian Express -> Jn of Nagavara -> KR Market -> Kadugondanahalli Police Station -> MG Statue -> Malleshwaram Circle -> Manyata Embassy Business Park -> Mariyannapalya Hebbala -> Mariyappanapalya -> Mariyappanapalya Navarang -> Museum -> Muslim Colony -> Nagavara -> Postal and Telecom Colony -> Prasanna Theatre -> RC College -> Raj Bhavan -> Rajajinagara 2nd Block -> Royal Enclave -> Sheshadripuram Swastik -> Shivajinagara Bus Station -> Shivananda Store -> Sri Ramapura -> St Joseph Boys High School -> Swastik Sheshadripuram College -> Town Hall -> Veerannapalya Hebbala -> Vijayanagara -> Vijayanagara TTMC -> Vijayanagara Vijaya Bank
RTNPS-VNH,HMT Layout RT Nagara -> Sultanpalya -> Sultanpalya Ashwathkatte -> Sultanpalya Cross Pushpanjali Talkies -> Vishwanath Nagenahalli
415-B,Basaveshwara Circle Sophiya School -> CQAL -> Ganesha Temple Vasantanagara -> HMT Layout RT Nagara -> High Ground Police Station -> Jayamahal -> Kempegowda Bus Station -> Maharanis College -> Matadahalli -> Mount Carmel College -> Munireddy Palya JC Nagara -> Rehamathnagara -> Sultanpalya -> Sultanpalya Ashwathkatte -> Sultanpalya Cross Pushpanjali Talkies -> Telephone Exchange AGO -> Vishwanath Nagenahalli
415-F,Basaveshwara Circle Sophiya School -> Bhuvaneshwarinagara RT Nagara -> CQAL -> Corporation -> Ganesha Temple Vasantanagara -> HMT Layout RT Nagara -> High Ground Police Station -> Jayamahal -> KR Market -> Maharanis College -> Matadahalli -> Mount Carmel College -> Munireddy Palya JC Nagara -> Rehamathnagara -> Sultanpalya -> Sultanpalya Ashwathkatte -> Sultanpalya Cross Pushpanjali Talkies -> Telephone Exchange AGO -> Town Hall -> Vishwanath Nagenahalli
GKVK-SRP,Byatarayanapura -> Sri Ramapura
BC-9,Amruthahalli Jakkur -> Ashwath Nagara Cross -> Byatarayanapura -> IBM Gate -> Jakkur 18th Cross -> Jakkur Layout -> Jn of Nagavara -> Mestripalya -> Royal Enclave -> Sri Ramapura -> Thanisandra
GKVK-TCNLO,Byatarayanapura -> Thalakaveri New Layout GKVK
SBS-SDH,Bamboo Bazaar -> Coles Park Millers Road -> Cunningham Road -> Dasarahalli Hebbala -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> Indian Express -> Kadugondanahalli -> Kadugondanahalli Police Station -> Manyata Embassy Business Park -> Muslim Colony -> Nagavara -> Periyar Nagara Circle Tannery Road -> Royal Enclave -> Shivajinagara Bus Station -> Sri Ramapura -> Venkateshapura Kadugondanahalli Police Station
290-J,Ashwath Nagara Cross -> Bamboo Bazaar -> CSI Hospital -> Frazer Town -> Indian Express -> Jn of Nagavara -> Kadugondanahalli Police Station -> Kempegowda Bus Station -> Maharanis College -> Mestripalya -> Muslim Colony -> Nagavara -> Postal and Telecom Colony -> Rachenahalli -> Thanisandra -> Vidhana Soudha
290-J MSP-SBS,Ashwath Nagara Cross -> Bamboo Bazaar -> CSI Hospital -> Frazer Town -> Indian Express -> Jn of Nagavara -> Kadugondanahalli Police Station -> Mestripalya -> Muslim Colony -> Nagavara -> Postal and Telecom Colony -> Rachenahalli -> Shivajinagara Bus Station -> Thanisandra
MSP-ARMYK,Ashwath Nagara Cross -> Frazer Town -> Jn of Nagavara -> Kadugondanahalli Police Station -> Mestripalya -> Muslim Colony -> Nagavara -> Postal and Telecom Colony -> Rachenahalli -> Thanisandra -> Thomas Cafe
CLO-HPN,Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> Attiguppe -> HBR Layout Ring Road -> Hampinagara RPC Layout -> IBM Gate -> Income Tax Layout -> Jn of Nagavara -> Kalyananagara -> Mestripalya -> Petrol Bunk Nagavara Junction -> Rachenahalli -> Thanisandra -> Vidhyasagara Thanisandra
MEBP-64B,BTM Layout Water Tank -> Manyata Embassy Business Park
MEBP-31,Gottigere -> JP Nagara 3rd Phase -> Manyata Embassy Business Park
MEBP-13,Electronic City Wipro Gate -> Manyata Embassy Business Park
MEBP-38,Manyata Embassy Business Park
MEBP-14A,Manyata Embassy Business Park
MEBP-42,Manyata Embassy Business Park -> Uttarahalli
MEBP-20,Brigade Millenium -> JP Nagara 15th Cross -> Jambu Savari Dinne -> Manyata Embassy Business Park -> RV Dental College JP Nagara
MEBP-42B,Kamakya Talkies -> Manyata Embassy Business Park
MEBP-23,BEML layout 5th stage -> Manyata Embassy Business Park
CS-MRHB-MEBP,Manyata Embassy Business Park
MEBP-15,Manyata Embassy Business Park
MEBP-14B,Manyata Embassy Business Park -> Sarjapura
MEBP-26A,Chikka Banavara -> Manyata Embassy Business Park
MEBP-12D,Kudlu Gate -> Manyata Embassy Business Park
MEBP-18B,Budigere Cross -> Manyata Embassy Business Park
MEBP-21,Manyata Embassy Business Park
VCS-MEBP-22A VRBN-MEBP,Basaveshwara Circle -> Hoskerehalli Petrol Bunk -> Manyata Embassy Business Park -> Muneshwara Block -> Nagendra Block -> Veerabhadranagara
MEBP-18,CMRIT College -> Kundalahalli Gate -> Manyata Embassy Business Park -> Nagavara
VCS-MEBP-18A CNR-MEBP,Channasandra -> Kundalahalli Gate -> Manyata Embassy Business Park -> Nagavara
VCS-MEBP-45 KGR-MEBP,Kamalanagara 8th Main -> Kengeri TTMC -> Kengunte Circle -> MS Ramaiah Hospital -> Manyata Embassy Business Park -> Nagadevanahalli -> Rajajinagara 1st Block -> Sadashivanagara Police Station -> Saraswathinagara -> Shankar Mutt
MEBP-38C,Channasandra -> Manyata Embassy Business Park
MEBP-34B,HSR Layout BDA Complex -> Manyata Embassy Business Park
VCS-MEBP-68 KDG-MEBP,Kundalahalli Gate -> Manyata Embassy Business Park
VCS-MEBP-71 TGP-MEBP,Corporation -> Doddakallasandra -> Manyata Embassy Business Park
VCS-MEBP-24B CLOBS-MEBP,Chandra Layout -> Manyata Embassy Business Park -> Mekhri Circle -> Vijayanagara -> Vijayanagara TTMC
VCS-MEBP-18C BELTH-MEBP,Manyata Embassy Business Park
VCS-MEBP-44A KHBHB-MEBP,Devaiah Park -> Magadi Road Tollgate -> Manyata Embassy Business Park -> Mekhri Circle -> Rajajinagara 6th Block
VCS-MEBP-74 CLO-MEBP,Chandra Layout -> Magadi Road Tollgate -> Manyata Embassy Business Park -> Rajajinagara 6th Block -> Vijayanagara
VCS-MEBP-45A SUMH-MEBP,Kamakshipalya -> Manyata Embassy Business Park -> Rajajinagara 1st Block -> Shankar Mutt -> Summanahalli
VCS-MEBP-62 BTMA-MEBP,Anepalya -> Gurudwara -> Jayadeva Hospital -> Johnson Market -> Manyata Embassy Business Park
VCS-MEBP-72B HKC-MEBP,Manyata Embassy Business Park -> Seetha Circle
VCS-MEBP-31A MKTP-MEBP,CS-Mantri Elite Apartment -> CS-Shopper Stop Mico Layout -> Manyata Embassy Business Park -> Meenakshi Temple
VCS-MEBP-64 ELC-MEBP,Bommanahalli -> Central Silk Board -> Depot-25 HSR Layout -> Electronic City -> Hosa Road -> Kadabisanahalli -> Kudlu Gate -> Manyata Embassy Business Park
VCS-MEBP-64C BGR-MEBP,Basaveshwara Circle Sophiya School -> GPO -> Hongasandra -> Johnson Market -> Manyata Embassy Business Park -> Mekhri Circle
VCS-MEBP-64B BTMW-MEBP,Central Silk Board -> Manyata Embassy Business Park
VCS-MEBP-70 JPNBK-MEBP,Ashoka Pillar -> Brigade Millenium -> Lalbagh West Gate -> Manyata Embassy Business Park
VCS-MEBP-12C BTMBS-MEBP,Manyata Embassy Business Park
VCS-MEBP-22 KMK-MEBP,Manyata Embassy Business Park
VCS-MEBP-74C CLO-MEBP,Chandra Layout -> Manyata Embassy Business Park
VCS-MEBP-34 DDKN-MEBP,Manyata Embassy Business Park
VCS-MEBP-20A JPN6TH-MEBP,JP Nagara 6th Phase -> Manyata Embassy Business Park
VCS-MEBP-45B NYH-MEBP,Manyata Embassy Business Park
VCS-MEBP-41A SMPBS-MEBP,Manyata Embassy Business Park
VCS-MEBP-20B SRS-MEBP,Ashoka Pillar -> JP Nagara 15th Cross -> JP Nagara 6th Phase -> Jayanagara TTMC -> Manyata Embassy Business Park
VCS-MEBP-35A SJWA-MEBP,CS-Jakkasandra(Towards:Dairy Circle) -> Manyata Embassy Business Park
VCS-MEBP-12 BSK-MEBP,Anepalya -> Cox Town -> Gurudwara -> Hosmat Hospital -> Johnson Market -> Manyata Embassy Business Park -> Mosque Road -> RBANMS College -> Sangam Circle -> Trinity Circle
VCS-MEBP-21D CSBS-MEBP,Devegowda Petrol Bunk -> Manyata Embassy Business Park
VCS-MEBP-25A NBC-MEBP,Kamalanagara Water Tank -> Manyata Embassy Business Park -> Mekhri Circle -> Rajajinagara 1st Block -> Saraswathinagara -> Shankar Mutt
VCS-MEBP-11A DHL-MEBP,CS-Mantri Elite Apartment -> CS-Shopper Stop Mico Layout -> Manyata Embassy Business Park
VCS-MEBP-18 GRTP-MEBP,CMRIT College -> Kundalahalli Gate -> Manyata Embassy Business Park -> Nagavara
VCS-MEBP-24 RPCL-MEBP,Devaiah Park -> Magadi Road Tollgate -> Malleshwaram 18th Cross -> Manyata Embassy Business Park -> Mariyappanapalya -> Mekhri Circle -> Rajajinagara 6th Block -> Sadashivanagara Police Station -> Vijayanagara
VCS-MEBP-41 ANPBS-MEBP,Basaveshwara Circle Sophiya School -> Harinagara Cross -> Lalbagh West Gate -> Manyata Embassy Business Park -> Mekhri Circle
MEBP--13A,Manyata Embassy Business Park
VCS-MEBP-25B NLO-MEBP,Manyata Embassy Business Park -> Nandini Layout Bus Stand
MEBP--21,Manyata Embassy Business Park
VCS-MEBP-11B AKN-MEBP,Akshayanagara New Town Hulimavu -> Manyata Embassy Business Park
290-A,Arabic College Tany Road -> Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> Bamboo Bazaar -> Coles Park Millers Road -> Cunningham Road -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> IBM Gate -> Indian Express -> Jn of Nagavara -> Kadugondanahalli -> Kadugondanahalli Police Station -> Muslim Colony -> Nagavara -> P -> Periyar Nagara Circle Tannery Road -> Postal and Telecom Colony -> Rachenahalli -> Shivajinagara Bus Station -> Tannery Road Canara Bank -> Thanisandra -> The Embassy Cunning Ham Road -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra
291-B,Ashwath Nagara Cross -> Bamboo Bazaar -> CSI Hospital -> Corporation -> IBM Gate -> Indian Express -> Jn of Nagavara -> KR Market -> Kadugondanahalli Police Station -> MG Statue -> Museum -> Muslim Colony -> Nagavara -> Postal and Telecom Colony -> Rachenahalli -> St Joseph Boys High School -> Thanisandra -> Town Hall
D10G-TNS,Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> HBR Layout Ring Road -> Jn of Nagavara -> Petrol Bunk Nagavara Junction -> Thanisandra -> Vidhyasagara Thanisandra
D10G-RKH,Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> HBR Layout Ring Road -> Jn of Nagavara -> Petrol Bunk Nagavara Junction -> RK HegdeNagara -> Thanisandra -> Thanisandra Book Factory -> Vidhyasagara Thanisandra
290-M,Arabic College Tany Road -> Ashwath Nagara Cross -> Bamboo Bazaar -> Coles Park Millers Road -> Cunningham Road -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> Indian Express -> Jn of Nagavara -> Kadugondanahalli -> Kadugondanahalli Police Station -> Kempegowda Bus Station -> Maharanis College -> Muslim Colony -> Nagavara -> P -> Periyar Nagara Circle Tannery Road -> Postal and Telecom Colony -> Tannery Road Canara Bank -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra
D10G-AJB,Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> HBR Layout Ring Road -> Jn of Nagavara -> Petrol Bunk Nagavara Junction -> Thanisandra -> Vidhyasagara Thanisandra
291-J,Arakere Gate -> Ashwath Nagara Cross -> BPL -> Bamboo Bazaar -> Bilekahalli -> CSI Hospital -> Carmel Convent Jayanagara -> Corporation -> Frazer Town -> HSBC Bannerughatta Main Road -> Hulimavu -> Hulimavu Gate -> IIMB Bannerghatta Road -> Indian Express -> JP Nagara 3rd Phase -> Jayanagara East End -> Jayanagara Pump House -> Jayanagara TTMC -> Jn of Nagavara -> KR Circle -> KR Market -> Kadugondanahalli Police Station -> Lalbagh West Gate -> Mahila Seva Samaja -> Makkala Koota -> Muslim Colony -> Nagavara -> National College -> Postal and Telecom Colony -> RV Teachers College -> Sanjay Gandhi Hospital Jayanagara -> Thanisandra -> Town Hall -> Vidhana Soudha
290-R,Arabic College Tany Road -> Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> Bagalur -> Bamboo Bazaar -> Bellahalli -> Bellahalli Cross -> Chakkalatti -> Christal House Learning School -> Coles Park Millers Road -> Corporation -> Cunningham Road -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> Hosuru Bande -> Indian Express -> Jn of Nagavara -> KR Market -> Kadugondanahalli -> Kadugondanahalli Police Station -> Kannuru -> MG Statue -> Museum -> Muslim Colony -> Nagavara -> Noor Nagara -> P -> Periyar Nagara Circle Tannery Road -> Postal and Telecom Colony -> RK HegdeNagara -> Razakpalya -> Tannery Road Canara Bank -> Thanisandra -> Thanisandra Book Factory -> Thirumenahalli Cross -> Town Hall -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra
290-G,Arabic College Tany Road -> Bamboo Bazaar -> Coles Park Millers Road -> Cunningham Road -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> Indian Express -> Jn of Nagavara -> Kadugondanahalli -> Kadugondanahalli Police Station -> Muslim Colony -> Nagavara -> Periyar Nagara Circle Tannery Road -> Shivajinagara Bus Station -> Tannery Road Canara Bank -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra
290-Q,Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> Austin Town -> Bamboo Bazaar -> Coles Park Millers Road -> Cunningham Road -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> Indian Express -> Jn of Nagavara -> Kadugondanahalli -> Kadugondanahalli Police Station -> Mayohall -> Muslim Colony -> Nagavara -> Neelasandra Bus Stand -> Neelasandra Rose Garden -> P -> Periyar Nagara Circle Tannery Road -> Postal and Telecom Colony -> RK HegdeNagara -> Tannery Road Canara Bank -> Thanisandra -> Thanisandra Book Factory -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra
TR-4A,Arabic College Tany Road -> Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> Bamboo Bazaar -> Coles Park Millers Road -> Corporation -> Cunningham Road -> Doddy Tannery Road -> Glass Factory Nagavara -> Goripalya Maramma Temple -> Govindapura Cross Nagarvara -> Indian Express -> Jaga Jeevan Ram Nagara -> Jn of Nagavara -> KR Market -> Kadugondanahalli -> Kadugondanahalli Police Station -> MG Statue -> Museum -> Muslim Colony -> Nagavara -> P -> Periyar Nagara Circle Tannery Road -> Petrol Bunk Nagavara Junction -> Postal and Telecom Colony -> RK HegdeNagara -> Shivajinagara Bus Station -> Sirsi Circle -> Tannery Road Canara Bank -> Thanisandra -> Thanisandra Book Factory -> Town Hall -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra -> Vinayaka Talkies KR Market
290-T,Arabic College Tany Road -> Ashwathnagara Thanisandra -> Bellahalli Cross -> Cantonment Railway Station -> Coles Park Millers Road -> Corporation -> Cunningham Road -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> HK Degree College -> Indian Express -> Jn of Nagavara -> KR Market -> Kadugondanahalli -> Kadugondanahalli Police Station -> Maharanis College -> Muslim Colony -> Nagavara -> Noor Nagara -> P -> Periyar Nagara Circle Tannery Road -> Petrol Bunk Nagavara Junction -> Postal and Telecom Colony -> RK HegdeNagara -> Tannery Road Canara Bank -> Thanisandra -> Thanisandra Book Factory -> Thirumenahalli Cross -> Town Hall -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra
290-S,Ashwath Nagara Cross -> Bamboo Bazaar -> CSI Hospital -> Dr Shivaramkaranth Residents -> Indian Express -> Jn of Nagavara -> K Narayanapura Cross RK Hegadenagara -> Kadugondanahalli Police Station -> Muslim Colony -> Nagavara -> Shivajinagara Bus Station -> Shivaram Karanth Nagara -> Sri Venkateshwaranagara Tejpunja Road -> Thanisandra
290-Z,Arabic College Tany Road -> Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> Bagalur -> Bagalur Colony -> Bagalur Santhe -> Basavanna Temple Hoovinayakanahalli -> Bellahalli Cross -> Cantonment Railway Station -> Coles Park Millers Road -> Cunningham Road -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> HK Degree College -> Indian Express -> Jn of Nagavara -> Kadugondanahalli -> Kadugondanahalli Police Station -> Muslim Colony -> Mylanahalli Beguru -> Nagavara -> Navodaya School Bagalur -> Noor Nagara -> P -> Periyar Nagara Circle Tannery Road -> Petrol Bunk Nagavara Junction -> Postal and Telecom Colony -> RK HegdeNagara -> Reva College -> Sathanur -> Shivajinagara Bus Station -> Srinivasapura Cross -> Tannery Road Canara Bank -> Thanisandra -> Thanisandra Book Factory -> Thirumenahalli Cross -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra -> Yelahanka Country Club
290-P,Arabic College Tany Road -> Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> Bamboo Bazaar -> Banashankari TTMC -> Cantonment Railway Station -> Coles Park Millers Road -> Cunningham Road -> Deepak Nursing Home Banashankari -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> Indian Express -> Jayanagara 6th Block -> Jn of Nagavara -> KH Road -> Kadugondanahalli -> Kadugondanahalli Police Station -> Lalbagh -> Lalbagh West Gate -> Minerva Circle -> Muslim Colony -> Nagavara -> Nanda Talkies -> P -> Periyar Nagara Circle Tannery Road -> Postal and Telecom Colony -> RK HegdeNagara -> RV Teachers College -> Richmond Circle -> Shivajinagara Bus Station -> South End Circle -> State Bank India Garage St Marks Rd -> Tannery Road Canara Bank -> Thanisandra -> Thanisandra Book Factory -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra -> Vijaya College Jayanagara -> Yediyuru Jayanagara 6th Block
MBS-14,Arabic College Tany Road -> Ashoka Pillar -> Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> Cantonment Railway Station -> Carmel Convent Jayanagara -> Coles Park Millers Road -> Cunningham Road -> Dalmia Circle -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> HK Degree College -> Indian Express -> JP Nagara 3rd Phase -> JP Nagara Water Tank -> Jayanagara 3rd Block -> Jayanagara Church -> Jayanagara TTMC -> Jn of Nagavara -> KH Road -> Kadugondanahalli -> Kadugondanahalli Police Station -> Madhavan Park Jayanagara 2nd Stage -> Milk Booth JP Nagara -> Muslim Colony -> Nagavara -> P -> Periyar Nagara Circle Tannery Road -> Petrol Bunk Nagavara Junction -> Postal and Telecom Colony -> RK HegdeNagara -> Rani Saraladevi High School -> Richmond Circle -> Shivajinagara Bus Station -> State Bank India Garage St Marks Rd -> Tannery Road Canara Bank -> Thanisandra -> Thanisandra Book Factory -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra -> Wilson Garden Police Station
CLO-RKH,Arabic College Tany Road -> Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> Attiguppe -> Bamboo Bazaar -> Chandra Layout -> Coles Park Millers Road -> Corporation -> Cunningham Road -> Deepanjalinagara -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> Income Tax Layout -> Indian Express -> Jn of Nagavara -> KR Market -> Kadugondanahalli -> Kadugondanahalli Police Station -> Muslim Colony -> Nagavara -> New Guddadahalli -> P -> Periyar Nagara Circle Tannery Road -> Postal and Telecom Colony -> RK HegdeNagara -> Shivajinagara Bus Station -> Sirsi Circle -> Tannery Road Canara Bank -> Thanisandra -> Thanisandra Book Factory -> Town Hall -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra -> Vinayaka Talkies KR Market
291-A,Agrahara Layout Kogilu -> Arabic College Tany Road -> Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> Bamboo Bazaar -> Chokkanahalli Thirumenahalli -> Coles Park Millers Road -> Corporation -> Cunningham Road -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> Indian Express -> Jn of Nagavara -> KR Circle -> KR Market -> Kadugondanahalli -> Kadugondanahalli Police Station -> Muslim Colony -> Mysore Bank -> Nagavara -> Noor Nagara -> P -> Periyar Nagara Circle Tannery Road -> Postal and Telecom Colony -> RK HegdeNagara -> Tannery Road Canara Bank -> Thanisandra -> Thanisandra Book Factory -> Town Hall -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra
G-10,Arabic College Tany Road -> Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> Cantonment Railway Station -> Coles Park Millers Road -> Corporation -> Cunningham Road -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> HK Degree College -> Indian Express -> Jn of Nagavara -> KR Circle -> KR Market -> Kadugondanahalli -> Kadugondanahalli Police Station -> Muslim Colony -> Mysore Bank -> Nagavara -> P -> Periyar Nagara Circle Tannery Road -> Postal and Telecom Colony -> RK HegdeNagara -> Tannery Road Canara Bank -> Thanisandra -> Thanisandra Book Factory -> Town Hall -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra
KLN-JJN,BRV Talkies Cubbon Road -> Bamboo Bazaar -> CSI Hospital -> Corporation -> Frazer Town -> HBR Layout Ring Road -> Indian Express -> Jaga Jeevan Ram Nagara -> Jn of Nagavara -> KR Market -> Kadugondanahalli Police Station -> Kalyananagara -> MG Statue -> Museum -> Muslim Colony -> Nagavara -> Postal and Telecom Colony -> Sirsi Circle -> St Joseph Boys High School -> Town Hall
290-QA NRG-RKHN,Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> Austin Town -> Bamboo Bazaar -> Coles Park Millers Road -> Commercial Street -> Cunningham Road -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> Gurudwara -> Indian Express -> Jn of Nagavara -> Kadugondanahalli -> Kadugondanahalli Police Station -> Lavanya Talkies -> Mayohall -> Muslim Colony -> Nagavara -> Neelasandra Bus Stand -> Neelasandra Rose Garden -> P -> Periyar Nagara Circle Tannery Road -> Postal and Telecom Colony -> RBANMS College -> RK HegdeNagara -> Shivajinagara Bus Station -> Tannery Road Canara Bank -> Thanisandra -> Thanisandra Book Factory -> Trinity Circle -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra
291-H,Arabic College Tany Road -> Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> Bamboo Bazaar -> Chandrika Hotel Junction -> Coles Park Millers Road -> Cunningham Road -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> HK Degree College -> Indian Express -> Jn of Nagavara -> Kadugondanahalli -> Kadugondanahalli Police Station -> Kempegowda Bus Station -> Maharanis College -> Muslim Colony -> Nagavara -> P -> Periyar Nagara Circle Tannery Road -> Postal and Telecom Colony -> RK HegdeNagara -> Tannery Road Canara Bank -> Thanisandra -> Thanisandra Book Factory -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra
290-N,Ashwath Nagara Cross -> Ashwathnagara Thanisandra -> Bamboo Bazaar -> Coles Park Millers Road -> Corporation -> Cunningham Road -> Doddy Tannery Road -> Glass Factory Nagavara -> Govindapura Cross Nagarvara -> Indian Express -> Jn of Nagavara -> KR Market -> Kadugondanahalli -> Kadugondanahalli Police Station -> MG Statue -> Museum -> Muslim Colony -> Nagavara -> P -> Periyar Nagara Circle Tannery Road -> Postal and Telecom Colony -> Thanisandra -> Town Hall -> Venkateshapura Kadugondanahalli Police Station -> Vidhyasagara Thanisandra
